candidate_id,gender,ethnicity,education_level,age,university_rank,years_experience
79,Female,Other,Bachelor,23,Tier 3,0.0
80,Male,Prefer not to say,Bachelor,21,Tier 2,0.0
81,Male,White,Master,24,Tier 3,0.0
82,Male,Hispanic,Master,28,Tier 2,2.0
83,Female,Black,Master,27,Tier 3,5.0
84,Male,Asian,Master,26,Tier 3,5.0
85,Prefer not to say,Black,Master,21,Tier 3,0.0
86,Male,White,Bachelor,41,Tier 3,8.0
87,Female,Other,Master,24,Tier 2,2.0
88,Male,Hispanic,Master,24,Tier 2,0.0
89,Female,Hispanic,Bachelor,49,Tier 3,10.0
90,Female,Prefer not to say,Bachelor,26,Tier 2,4.0
91,Prefer not to say,Prefer not to say,Bachelor,29,Tier 2,3.0
92,Female,Black,PhD,39,Tier 2,7.0
93,Male,Hispanic,Bachelor,34,Tier 3,8.0
94,Female,Black,Master,47,Tier 3,7.0
95,Other,Black,Bachelor,23,Tier 3,0.0
96,Male,Black,Master,24,Tier 3,0.0
97,Male,White,Bachelor,21,Tier 3,1.0
98,Other,Hispanic,Master,24,Tier 2,0.0
99,Female,White,Bachelor,37,Tier 2,4.0
100,Female,Black,Bachelor,22,Tier 3,0.0
101,Female,White,Bachelor,35,Tier 3,8.0
102,Male,Hispanic,PhD,50,Tier 3,5.0
103,Male,Asian,Master,27,Tier 3,5.0
104,Male,Black,Bachelor,23,Tier 2,1.0
105,Prefer not to say,Prefer not to say,Bachelor,21,Tier 2,0.0
106,Female,Hispanic,Bachelor,49,Tier 3,8.0
107,Female,Prefer not to say,Master,25,Tier 3,0.0
108,Male,White,Master,24,Tier 3,0.0
109,Male,Prefer not to say,Bachelor,23,Tier 2,0.0
110,Female,Black,Bachelor,48,Tier 3,7.0
111,Female,Black,Master,25,Tier 3,2.0
112,Male,Hispanic,Bachelor,23,Tier 2,2.0
113,Female,Other,Bachelor,23,Tier 3,0.0
114,Female,Black,Master,25,Tier 3,3.0
115,Prefer not to say,Hispanic,Bachelor,36,Tier 1,5.0
116,Prefer not to say,White,Bachelor,36,Tier 2,4.0
117,Female,Prefer not to say,Bachelor,35,Tier 2,4.0
118,Male,Hispanic,Bachelor,23,Tier 3,0.0
119,Prefer not to say,Hispanic,Bachelor,22,Tier 3,1.0
120,Other,Hispanic,Bachelor,55,Tier 2,6.0
121,Female,Asian,Bachelor,23,Tier 3,0.0
122,Male,Black,Master,28,Tier 2,4.0
123,Male,Black,Bachelor,41,Tier 3,7.0
124,Male,White,Bachelor,21,Tier 3,0.0
125,Female,Prefer not to say,PhD,52,Tier 2,10.0
126,Female,Asian,Bachelor,37,Tier 2,7.0
127,Male,Asian,Master,51,Tier 3,12.0
128,Male,Other,Bachelor,21,Tier 3,0.0
129,Male,Hispanic,Master,25,Tier 1,1.0
130,Male,Asian,Bachelor,22,Tier 3,0.0
131,Other,Asian,Bachelor,32,Tier 3,8.0
132,Prefer not to say,White,Bachelor,55,Tier 3,9.0
133,Male,Asian,Bachelor,23,Tier 3,2.0
134,Male,White,PhD,29,Tier 2,2.0
135,Female,Prefer not to say,Master,24,Tier 3,0.0
136,Female,Black,Bachelor,23,Tier 2,0.0
137,Male,Other,Bachelor,21,Tier 3,1.0
138,Female,Asian,Bachelor,52,Tier 3,8.0
139,Female,White,Master,34,Tier 3,3.0
140,Female,Hispanic,Bachelor,28,Tier 3,2.0
141,Female,White,Bachelor,22,Tier 3,0.0
142,Male,Hispanic,Master,27,Tier 3,3.0
143,Female,Black,Bachelor,21,Tier 2,0.0
144,Other,White,Bachelor,21,Tier 3,0.0
145,Female,White,Bachelor,23,Tier 3,1.0
146,Male,Asian,Bachelor,22,Tier 3,2.0
147,Male,Asian,Bachelor,21,Tier 3,1.0
148,Female,Asian,Bachelor,22,Tier 2,0.0
149,Male,Hispanic,PhD,30,Tier 3,5.0
150,Female,Hispanic,Master,44,Tier 3,9.0
151,Male,Black,Bachelor,22,Tier 2,0.0
152,Prefer not to say,White,Bachelor,22,Tier 3,2.0
153,Female,Hispanic,Bachelor,34,Tier 1,5.0
154,Male,Other,Bachelor,21,Tier 3,0.0
155,Male,Prefer not to say,Bachelor,22,Tier 3,0.0
156,Male,Prefer not to say,Bachelor,21,Tier 2,0.0
157,Male,Asian,Bachelor,22,Tier 3,1.0
158,Female,White,Bachelor,49,Tier 3,10.0
159,Male,Black,Bachelor,21,Tier 2,0.0
160,Female,Hispanic,Bachelor,55,Tier 3,10.0
161,Male,Black,Bachelor,23,Tier 2,0.0
162,Other,White,Bachelor,21,Tier 3,0.0
163,Male,Prefer not to say,Master,27,Tier 3,4.0
164,Female,Hispanic,Bachelor,21,Tier 3,2.0
165,Male,Hispanic,Bachelor,21,Tier 3,0.0
166,Female,Asian,Master,25,Tier 3,5.0
167,Prefer not to say,Black,Master,35,Tier 3,6.0
168,Male,Prefer not to say,Bachelor,21,Tier 1,0.0
169,Female,Prefer not to say,Bachelor,23,Tier 3,2.0
170,Other,Asian,Bachelor,30,Tier 3,3.0
171,Prefer not to say,Hispanic,PhD,21,Tier 2,0.0
172,Male,White,Bachelor,22,Tier 3,0.0
173,Female,Asian,Bachelor,23,Tier 2,1.0
174,Male,Black,Bachelor,46,Tier 3,10.0
175,Male,Prefer not to say,Bachelor,33,Tier 1,5.0
176,Male,Asian,Bachelor,22,Tier 1,1.0
177,Male,Asian,Bachelor,25,Tier 3,3.0
178,Female,White,Bachelor,22,Tier 1,1.0
179,Male,White,Bachelor,21,Tier 3,0.0
180,Male,Asian,Bachelor,40,Tier 2,8.0
181,Male,Black,Bachelor,22,Tier 2,0.0
182,Male,Black,Bachelor,23,Tier 3,0.0
183,Male,Prefer not to say,Bachelor,22,Tier 3,2.0
184,Female,Asian,Bachelor,22,Tier 2,0.0
185,Female,Asian,Master,41,Tier 3,11.0
186,Other,Asian,Bachelor,26,Tier 2,2.0
187,Male,Other,Bachelor,22,Tier 3,0.0
188,Male,Asian,Master,22,Tier 3,0.0
189,Male,White,Bachelor,37,Tier 2,5.0
190,Female,Hispanic,Bachelor,31,Tier 3,6.0
191,Male,Prefer not to say,Bachelor,22,Tier 3,0.0
192,Other,Asian,Bachelor,21,Tier 3,0.0
193,Prefer not to say,Prefer not to say,Bachelor,22,Tier 3,0.0
194,Female,Black,Bachelor,37,Tier 3,7.0
195,Other,Asian,Bachelor,21,Tier 2,0.0
196,Prefer not to say,White,Bachelor,22,Tier 3,1.0
197,Prefer not to say,White,Bachelor,34,Tier 1,6.0
198,Female,Other,Bachelor,36,Tier 3,3.0
199,Female,Black,Bachelor,36,Tier 2,3.0
200,Male,Other,Master,38,Tier 3,4.0
201,Male,Black,Bachelor,34,Tier 2,6.0
202,Male,Hispanic,Bachelor,21,Tier 3,0.0
203,Female,Other,Bachelor,23,Tier 2,0.0
204,Male,Other,Bachelor,21,Tier 3,0.0
205,Male,Asian,Bachelor,23,Tier 1,1.0
206,Prefer not to say,White,Bachelor,28,Tier 2,3.0
207,Female,Hispanic,Bachelor,23,Tier 3,0.0
208,Female,White,Bachelor,32,Tier 3,5.0
209,Male,White,Bachelor,23,Tier 3,0.0
210,Male,Asian,Bachelor,21,Tier 2,0.0
211,Prefer not to say,Prefer not to say,Bachelor,35,Tier 3,6.0
212,Male,White,Bachelor,21,Tier 3,0.0
213,Male,White,PhD,41,Tier 3,7.0
214,Male,White,Bachelor,21,Tier 1,2.0
215,Other,Asian,PhD,46,Tier 3,11.0
216,Prefer not to say,White,Bachelor,23,Tier 2,2.0
217,Male,Hispanic,PhD,24,Tier 3,0.0
218,Male,Asian,Bachelor,22,Tier 3,0.0
219,Male,Black,Bachelor,22,Tier 3,0.0
220,Other,Black,Bachelor,21,Tier 3,0.0
221,Female,Other,Bachelor,43,Tier 3,10.0
222,Male,Black,Bachelor,24,Tier 3,0.0
223,Male,Other,Bachelor,23,Tier 3,0.0
224,Female,Hispanic,Bachelor,23,Tier 2,0.0
225,Female,Black,Bachelor,21,Tier 2,0.0
226,Other,Hispanic,Master,21,Tier 3,1.0
227,Other,White,Bachelor,22,Tier 3,0.0
228,Male,Hispanic,Master,26,Tier 1,0.0
229,Female,Hispanic,PhD,49,Tier 3,9.0
230,Female,White,Bachelor,22,Tier 1,0.0
231,Female,Hispanic,Master,35,Tier 3,7.0
232,Male,Other,Master,27,Tier 3,5.0
233,Male,White,Bachelor,22,Tier 3,0.0
234,Female,Black,Bachelor,23,Tier 2,0.0
235,Male,Black,Bachelor,22,Tier 3,0.0
236,Female,Other,Master,24,Tier 2,0.0
237,Prefer not to say,White,Master,26,Tier 3,2.0
238,Male,Asian,Bachelor,49,Tier 3,12.0
239,Other,Black,Master,50,Tier 3,9.0
240,Female,White,PhD,43,Tier 1,10.0
241,Female,Black,Bachelor,23,Tier 3,2.0
242,Female,Asian,Bachelor,44,Tier 3,6.0
243,Male,Black,Master,49,Tier 3,5.0
244,Female,Black,Bachelor,23,Tier 3,0.0
245,Female,Hispanic,Master,25,Tier 2,5.0
246,Female,White,Bachelor,22,Tier 2,0.0
247,Female,Asian,Master,27,Tier 3,1.0
248,Female,Hispanic,Bachelor,23,Tier 1,0.0
249,Male,White,Bachelor,47,Tier 3,6.0
250,Prefer not to say,Hispanic,Bachelor,22,Tier 3,0.0
251,Other,Black,Master,28,Tier 2,3.0
252,Female,White,Bachelor,30,Tier 2,3.0
253,Female,White,Bachelor,44,Tier 3,10.0
254,Male,Black,Bachelor,23,Tier 3,0.0
255,Male,Other,Bachelor,22,Tier 2,0.0
256,Female,Black,Bachelor,55,Tier 3,9.0
257,Female,Asian,Master,25,Tier 2,4.0
258,Male,White,Bachelor,21,Tier 3,0.0
259,Male,Asian,Bachelor,30,Tier 3,1.0
260,Female,Hispanic,Bachelor,26,Tier 3,2.0
261,Female,Asian,Bachelor,23,Tier 2,0.0
262,Female,Asian,Bachelor,22,Tier 3,0.0
263,Male,White,Bachelor,21,Tier 3,0.0
264,Female,Asian,Bachelor,23,Tier 3,0.0
265,Male,White,Bachelor,22,Tier 3,0.0
266,Prefer not to say,Other,Bachelor,49,Tier 3,10.0
267,Male,Prefer not to say,Master,24,Tier 1,0.0
268,Male,White,Master,26,Tier 3,3.0
269,Other,Hispanic,Bachelor,23,Tier 3,0.0
270,Other,Prefer not to say,Bachelor,39,Tier 2,10.0
271,Other,Asian,Bachelor,33,Tier 1,7.0
272,Male,Black,Bachelor,23,Tier 3,0.0
273,Female,Other,Bachelor,22,Tier 2,2.0
274,Male,Black,Bachelor,21,Tier 2,0.0
275,Female,Asian,Bachelor,22,Tier 3,0.0
276,Male,Asian,Bachelor,22,Tier 3,1.0
277,Male,Prefer not to say,Bachelor,22,Tier 2,0.0
278,Male,Prefer not to say,Bachelor,31,Tier 2,8.0
279,Female,Asian,Bachelor,27,Tier 2,2.0
280,Female,Black,Master,24,Tier 3,0.0
281,Female,Black,Bachelor,27,Tier 3,2.0
282,Female,Other,Bachelor,23,Tier 3,0.0
283,Male,Black,Bachelor,46,Tier 3,5.0
284,Male,White,Bachelor,39,Tier 3,5.0
285,Female,Prefer not to say,PhD,43,Tier 3,9.0
286,Female,Prefer not to say,Master,25,Tier 2,2.0
287,Male,Other,Bachelor,23,Tier 3,0.0
288,Female,Other,Bachelor,55,Tier 3,7.0
289,Female,Black,Bachelor,36,Tier 2,5.0
290,Prefer not to say,Black,Master,48,Tier 3,7.0
291,Female,Other,Bachelor,21,Tier 3,1.0
292,Female,Black,Bachelor,21,Tier 1,0.0
293,Male,Other,Bachelor,23,Tier 3,0.0
294,Female,Prefer not to say,Bachelor,33,Tier 3,6.0
295,Prefer not to say,Hispanic,Bachelor,22,Tier 2,0.0
296,Male,Hispanic,Bachelor,21,Tier 3,0.0
297,Male,Asian,Bachelor,42,Tier 2,7.0
298,Male,Asian,Bachelor,22,Tier 3,2.0
299,Male,Asian,Bachelor,23,Tier 2,0.0
300,Female,White,Bachelor,22,Tier 2,0.0
301,Other,White,Bachelor,47,Tier 3,9.0
302,Female,Black,Bachelor,22,Tier 2,0.0
303,Male,Hispanic,Master,36,Tier 3,6.0
304,Other,Asian,Bachelor,21,Tier 3,2.0
305,Male,Prefer not to say,Bachelor,21,Tier 2,0.0
306,Female,Prefer not to say,Bachelor,21,Tier 3,0.0
307,Prefer not to say,Hispanic,Bachelor,35,Tier 3,8.0
308,Female,Black,Bachelor,21,Tier 2,1.0
309,Male,Asian,Master,21,Tier 2,0.0
310,Male,Other,PhD,45,Tier 2,6.0
311,Other,Asian,Master,26,Tier 2,3.0
312,Prefer not to say,Black,Bachelor,50,Tier 2,12.0
313,Female,Prefer not to say,Bachelor,22,Tier 3,2.0
314,Female,Prefer not to say,Bachelor,22,Tier 3,0.0
315,Male,Other,Master,27,Tier 3,4.0
316,Other,Black,Bachelor,21,Tier 1,0.0
317,Male,Black,Master,53,Tier 3,5.0
318,Other,Hispanic,Bachelor,27,Tier 2,5.0
319,Female,Hispanic,Bachelor,42,Tier 3,8.0
320,Female,Prefer not to say,Bachelor,21,Tier 3,2.0
321,Male,White,PhD,41,Tier 2,7.0
322,Female,Prefer not to say,Bachelor,23,Tier 3,0.0
323,Male,Prefer not to say,Bachelor,47,Tier 2,7.0
324,Prefer not to say,Black,Bachelor,23,Tier 3,0.0
325,Female,White,PhD,41,Tier 2,9.0
326,Female,Prefer not to say,Master,28,Tier 1,3.0
327,Prefer not to say,Asian,Bachelor,21,Tier 1,0.0
328,Female,Hispanic,Bachelor,22,Tier 2,2.0
329,Prefer not to say,Asian,Bachelor,22,Tier 3,0.0
330,Prefer not to say,Asian,Bachelor,26,Tier 3,5.0
331,Male,Hispanic,Bachelor,34,Tier 3,3.0
332,Prefer not to say,Black,Bachelor,26,Tier 2,3.0
333,Female,Asian,Bachelor,23,Tier 3,0.0
334,Female,Other,Bachelor,22,Tier 2,0.0
335,Female,Hispanic,Bachelor,22,Tier 2,0.0
336,Other,Black,PhD,38,Tier 2,7.0
337,Other,Asian,Bachelor,21,Tier 2,0.0
338,Male,White,Bachelor,34,Tier 3,6.0
339,Male,Asian,Bachelor,23,Tier 3,0.0
340,Male,Hispanic,Bachelor,23,Tier 3,0.0
341,Female,Prefer not to say,PhD,25,Tier 3,3.0
342,Male,White,Bachelor,21,Tier 3,2.0
343,Male,Black,Bachelor,48,Tier 2,11.0
344,Female,White,Bachelor,23,Tier 3,2.0
345,Female,Asian,Bachelor,22,Tier 3,0.0
346,Other,Black,Bachelor,49,Tier 3,8.0
347,Female,Prefer not to say,Bachelor,23,Tier 3,0.0
348,Male,Asian,Bachelor,23,Tier 2,0.0
349,Male,White,Bachelor,22,Tier 2,0.0
350,Other,White,Master,26,Tier 2,2.0
351,Prefer not to say,Asian,Bachelor,54,Tier 3,5.0
352,Female,Other,Master,34,Tier 2,7.0
353,Prefer not to say,Black,Master,27,Tier 2,4.0
354,Male,Asian,Bachelor,47,Tier 3,7.0
355,Female,Asian,Bachelor,36,Tier 2,6.0
356,Male,Black,Master,24,Tier 3,2.0
357,Female,Other,Bachelor,23,Tier 3,0.0
358,Female,Black,Bachelor,29,Tier 3,3.0
359,Female,Asian,PhD,49,Tier 3,10.0
360,Male,Hispanic,Bachelor,54,Tier 3,5.0
361,Male,White,PhD,46,Tier 3,10.0
362,Prefer not to say,White,Bachelor,55,Tier 1,7.0
363,Prefer not to say,Hispanic,Bachelor,33,Tier 2,6.0
364,Male,White,Bachelor,46,Tier 3,10.0
365,Female,Black,Bachelor,21,Tier 3,1.0
366,Female,White,Bachelor,22,Tier 2,0.0
367,Female,Asian,Bachelor,23,Tier 3,0.0
368,Female,Hispanic,Bachelor,26,Tier 3,3.0
369,Other,White,Bachelor,23,Tier 3,0.0
370,Female,Asian,Master,44,Tier 3,10.0
371,Male,White,Master,28,Tier 3,1.0
372,Female,Other,Bachelor,34,Tier 1,4.0
373,Female,Black,Bachelor,34,Tier 1,6.0
374,Male,Black,PhD,34,Tier 1,4.0
375,Female,Asian,Bachelor,51,Tier 1,6.0
376,Other,Other,Bachelor,40,Tier 1,8.0
377,Male,Hispanic,Bachelor,28,Tier 2,1.0
378,Prefer not to say,Black,Bachelor,33,Tier 2,5.0
379,Male,Black,Bachelor,34,Tier 3,6.0
380,Female,White,Bachelor,23,Tier 3,0.0
381,Female,Hispanic,Master,26,Tier 3,5.0
382,Male,Asian,Master,35,Tier 1,5.0
383,Prefer not to say,Prefer not to say,Bachelor,24,Tier 3,0.0
384,Female,Hispanic,Master,28,Tier 1,3.0
385,Female,Hispanic,PhD,49,Tier 3,10.0
386,Male,Black,Master,27,Tier 3,0.0
387,Female,Asian,Bachelor,21,Tier 1,0.0
388,Female,Prefer not to say,Bachelor,23,Tier 2,1.0
389,Female,White,Bachelor,27,Tier 2,2.0
390,Male,Hispanic,Master,28,Tier 3,4.0
391,Female,Other,Bachelor,22,Tier 1,0.0
392,Male,White,Bachelor,33,Tier 3,6.0
393,Male,White,Master,28,Tier 3,4.0
394,Prefer not to say,White,Master,27,Tier 3,1.0
395,Male,Hispanic,Master,26,Tier 3,3.0
396,Male,White,Bachelor,22,Tier 3,0.0
397,Female,Other,Bachelor,21,Tier 3,1.0
398,Female,Hispanic,Bachelor,28,Tier 2,4.0
399,Male,White,Bachelor,54,Tier 2,9.0
400,Prefer not to say,Asian,Bachelor,21,Tier 3,0.0
401,Male,Black,Bachelor,52,Tier 3,12.0
402,Male,Black,Bachelor,21,Tier 3,0.0
403,Male,Asian,Bachelor,21,Tier 1,0.0
404,Female,White,Bachelor,50,Tier 3,10.0
405,Female,White,Master,24,Tier 3,0.0
406,Male,White,Master,26,Tier 3,2.0
407,Male,White,Bachelor,21,Tier 3,0.0
408,Male,Black,Bachelor,22,Tier 2,0.0
409,Male,Prefer not to say,Bachelor,26,Tier 3,5.0
410,Female,White,Bachelor,22,Tier 2,0.0
411,Male,Hispanic,Bachelor,52,Tier 3,6.0
412,Prefer not to say,Black,Bachelor,23,Tier 2,0.0
413,Male,Other,Master,24,Tier 1,0.0
414,Male,Asian,PhD,41,Tier 3,5.0
415,Female,Asian,Master,25,Tier 3,3.0
416,Prefer not to say,Prefer not to say,Master,28,Tier 3,5.0
417,Female,White,Bachelor,23,Tier 3,0.0
418,Female,White,Bachelor,22,Tier 3,2.0
419,Male,White,Bachelor,23,Tier 3,0.0
420,Other,Prefer not to say,Master,25,Tier 1,5.0
421,Prefer not to say,Black,Bachelor,45,Tier 2,11.0
422,Male,White,Bachelor,27,Tier 3,5.0
423,Other,Prefer not to say,Bachelor,33,Tier 2,3.0
424,Female,Prefer not to say,Master,28,Tier 3,2.0
425,Female,White,PhD,37,Tier 2,8.0
426,Male,White,Bachelor,40,Tier 3,5.0
427,Female,Hispanic,Bachelor,48,Tier 3,8.0
428,Male,Hispanic,Bachelor,23,Tier 2,0.0
429,Male,White,Bachelor,22,Tier 3,0.0
430,Male,Other,Master,26,Tier 3,2.0
431,Other,Black,Bachelor,31,Tier 3,5.0
432,Female,White,Bachelor,35,Tier 3,3.0
433,Male,Asian,Master,34,Tier 3,6.0
434,Female,Asian,Bachelor,37,Tier 2,7.0
435,Other,White,Bachelor,26,Tier 3,4.0
436,Male,Black,Master,26,Tier 3,0.0
437,Female,Asian,Bachelor,33,Tier 3,4.0
438,Prefer not to say,Black,Bachelor,22,Tier 2,0.0
439,Male,Black,Bachelor,23,Tier 2,1.0
440,Female,White,Bachelor,29,Tier 2,1.0
441,Male,Black,Bachelor,27,Tier 3,5.0
442,Female,Black,Bachelor,40,Tier 2,6.0
443,Female,Asian,Master,25,Tier 3,1.0
444,Prefer not to say,White,Bachelor,23,Tier 3,0.0
445,Prefer not to say,Asian,Bachelor,30,Tier 3,5.0
446,Prefer not to say,Black,PhD,46,Tier 2,12.0
447,Prefer not to say,Hispanic,Master,34,Tier 3,7.0
448,Male,Hispanic,Bachelor,21,Tier 2,0.0
449,Male,Other,Bachelor,24,Tier 3,2.0
450,Male,Other,Bachelor,21,Tier 2,0.0
451,Other,Black,PhD,29,Tier 3,2.0
452,Male,Black,Bachelor,23,Tier 3,0.0
453,Female,Hispanic,Bachelor,21,Tier 2,0.0
454,Female,Other,Bachelor,23,Tier 3,0.0
455,Other,Asian,Bachelor,55,Tier 3,8.0
456,Female,Asian,Bachelor,23,Tier 3,0.0
457,Male,White,Bachelor,52,Tier 3,10.0
458,Other,Black,Bachelor,55,Tier 3,11.0
459,Female,White,Bachelor,45,Tier 3,9.0
460,Other,White,Master,44,Tier 3,9.0
461,Male,White,Bachelor,23,Tier 3,1.0
462,Male,Other,Bachelor,26,Tier 2,4.0
463,Male,Asian,Master,24,Tier 1,0.0
464,Male,White,Bachelor,23,Tier 3,0.0
465,Male,Black,Bachelor,51,Tier 2,9.0
466,Female,Asian,Master,33,Tier 3,6.0
467,Male,Other,PhD,47,Tier 3,6.0
468,Prefer not to say,Asian,Bachelor,21,Tier 3,0.0
469,Female,White,Bachelor,51,Tier 2,5.0
470,Female,Hispanic,Master,27,Tier 3,4.0
471,Female,White,Master,26,Tier 2,2.0
472,Female,Hispanic,PhD,27,Tier 3,2.0
473,Male,Black,Bachelor,23,Tier 2,0.0
474,Prefer not to say,Other,Master,25,Tier 1,1.0
475,Prefer not to say,Black,Bachelor,49,Tier 3,10.0
476,Female,Asian,Master,23,Tier 2,0.0
477,Female,White,Bachelor,21,Tier 3,0.0
478,Male,White,Bachelor,22,Tier 1,0.0
479,Male,Other,Bachelor,33,Tier 2,8.0
480,Other,Asian,Bachelor,21,Tier 1,0.0
481,Male,Hispanic,Master,26,Tier 3,1.0
482,Other,Asian,Bachelor,51,Tier 3,8.0
483,Female,Asian,Bachelor,28,Tier 2,2.0
484,Female,Other,Bachelor,47,Tier 1,10.0
485,Female,Black,Bachelor,25,Tier 3,4.0
486,Prefer not to say,Other,Bachelor,22,Tier 3,0.0
487,Female,Other,Bachelor,23,Tier 2,0.0
488,Female,Asian,Master,23,Tier 3,2.0
489,Male,Asian,Bachelor,22,Tier 3,0.0
490,Other,Asian,Bachelor,23,Tier 3,0.0
491,Prefer not to say,White,Bachelor,25,Tier 2,2.0
492,Female,Other,Master,28,Tier 3,1.0
493,Female,Asian,Bachelor,53,Tier 3,5.0
494,Other,Hispanic,Bachelor,39,Tier 3,10.0
495,Prefer not to say,Asian,Master,25,Tier 3,4.0
496,Male,Black,Bachelor,21,Tier 3,0.0
497,Male,Black,Bachelor,22,Tier 3,0.0
498,Male,Asian,Bachelor,22,Tier 1,0.0
499,Male,Asian,Master,28,Tier 2,1.0
500,Other,Black,Bachelor,55,Tier 3,9.0
501,Female,Other,Bachelor,23,Tier 2,0.0
502,Female,Hispanic,Bachelor,21,Tier 2,0.0
503,Prefer not to say,White,Master,25,Tier 3,1.0
504,Male,Hispanic,Bachelor,48,Tier 3,8.0
505,Female,Black,Bachelor,21,Tier 1,2.0
506,Male,Other,Bachelor,25,Tier 1,0.0
507,Male,Black,Bachelor,39,Tier 3,12.0
508,Male,Hispanic,Master,37,Tier 2,4.0
509,Female,Asian,Bachelor,21,Tier 3,0.0
510,Female,Asian,Bachelor,21,Tier 2,2.0
511,Female,Asian,Bachelor,22,Tier 3,0.0
512,Male,Asian,Master,26,Tier 1,1.0
513,Male,Asian,PhD,29,Tier 3,2.0
514,Other,Asian,Bachelor,35,Tier 3,8.0
515,Prefer not to say,Hispanic,PhD,39,Tier 1,8.0
516,Female,Black,Master,26,Tier 3,3.0
517,Female,White,Bachelor,36,Tier 3,6.0
518,Prefer not to say,Hispanic,Bachelor,21,Tier 2,0.0
